index,stock_name,pb,ps,median_pb,difference_pb,median_ps,difference_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps
79,Coronation,5.33,2.92,0.69,-87.05,2.71,-7.19,Fortress Income,0.63,3.57,Resilient Property,0.0,0.0,Vukile Property,0.69,3.58,SA Corporate Real Estate,0.52,2.71,NEPI Rockcastle,0.9,5.59,Avi,5.2,1.8,Northam Platinum Holdings,2.03,1.77
80,RCL Foods,0.9,0.28,1.81,101.11,0.38,35.71,Santam,0.0,0.0,Distell,2.24,1.9,Clicks,11.4,1.64,Cashbuild,1.81,0.38,Aveng Ltd,0.46,0.06,Astral,1.29,0.32,Tiger Brands,2.26,1.03
81,Reunert,1.35,0.86,0.49,-63.70,0.70,-18.60,Attacq,0.49,2.44,Avi,5.2,1.8,NEPI Rockcastle,0.9,5.59,Hulamin,0.33,0.07,Quilter,1.32,0.7,Resilient Property,0.0,0.0,Grindrod,0.0,0.0
82,AECI Pref,0.9,0.34,2.05,127.78,0.97,185.29,Metair,0.97,0.38,Clicks,11.4,1.64,Astral,1.29,0.32,Netcare,2.05,0.97,Distell,2.24,1.9,Mr Price,3.03,1.3,RCL Foods,0.9,0.28
83,African Rainbow,0.72,5.94,1.79,148.61,2.55,-57.07,Equites Property Fund Ltd,0.79,5.95,OUTsurance,4.76,2.55,Kibo Energy,0.21,10.39,Gold Fields,1.88,1.85,PPC,0.7,0.45,AngloGold Ashanti,1.79,1.63,Pan African Resources,1.86,2.69
84,Advtech,1.96,1.4,0.64,-67.35,1.80,28.57,Avi,5.2,1.8,SA Corporate Real Estate,0.52,2.71,Attacq,0.49,2.44,Quilter,1.32,0.7,Curro Hol,0.64,1.12,NEPI Rockcastle,0.9,5.59,Resilient Property,0.0,0.0
85,JSE,0.0,0.0,0.89,0.00,1.01,0.00,PSG Konsult Ltd,3.8,2.52,Afrimat,2.26,1.75,Adcock Ingram,1.68,1.01,Caxton,0.47,0.54,RFG Holdings,0.89,0.37,Spear REIT,0.62,2.82,Insimbi Refractory Alloy Supply,0.58,0.07
86,Adcock Ingram,1.68,1.01,0.57,-66.07,0.17,-83.17,RFG Holdings,0.89,0.37,Bell Equipment Ltd.,0.37,0.17,Grindrod,0.0,0.0,Afrimat,2.26,1.75,Quantum Foods Holdings,0.45,0.16,Mustek Ltd,0.68,0.1,Deneb Investments,0.57,0.3
87,Kap Industrial,0.73,0.29,1.52,108.22,1.63,462.07,Redefine Properties,0.51,2.98,SA Corporate Real Estate,0.52,2.71,MTN,2.31,1.32,AngloGold Ashanti,1.79,1.63,Life Healthcare,1.52,1.0,Pan African Resources,1.86,2.69,Pepkor,1.1,0.85
88,Sun International,3.74,0.88,0.97,-74.06,0.27,-69.32,Kaap Agri Bedryf,1.05,0.18,Tsogo Sun,3.34,1.19,Sea Harvest,0.88,0.53,Brimstone Investment,0.52,0.27,Metair,0.97,0.38,Mustek Ltd,0.68,0.1,Combined Moto,1.77,0.18
89,Afrimat,2.26,1.75,0.88,-61.06,0.53,-69.71,Italtile,2.29,1.71,Grindrod,0.0,0.0,Adcock Ingram,1.68,1.01,Caxton,0.47,0.54,Sea Harvest,0.88,0.53,AfroCentric Investment Corp,1.29,0.36,Invicta,0.59,0.34
90,Industrials REIT,0.75,7.42,1.55,106.67,1.20,-83.83,Acsion,0.33,2.57,Grindrod Shipping,13.59,0.31,PBT Group,2.09,0.69,Sygnia Ltd,3.17,3.3,DRA Global,0.46,0.13,Alphamin Res,1.01,10.76,MiX Telematics Ltd,1.55,1.2
91,Famous Brands,10.04,0.95,0.58,-94.22,0.34,-64.21,Insimbi Refractory Alloy Supply,0.58,0.07,Deneb Investments,0.57,0.3,Invicta Holdings,0.59,0.34,Invicta,0.59,0.34,Balwin Properties,0.41,0.43,Master Drilling Group Ltd,0.65,0.59,Lewis,0.53,0.33
92,Southern Sun,0.82,1.54,0.88,7.32,0.53,-65.58,Altron,0.75,0.37,Sea Harvest,0.88,0.53,Italtile,2.29,1.71,Afrimat,2.26,1.75,Alexander Forbes Group Holdings,1.53,1.45,JSE,0.0,0.0,Invicta,0.59,0.34
93,Tharisa,0.63,0.52,0.97,53.97,0.37,-28.85,Sea Harvest,0.88,0.53,Italtile,2.29,1.71,Kaap Agri Bedryf,1.05,0.18,Mustek Ltd,0.68,0.1,Metair,0.97,0.38,AfroCentric Investment Corp,1.29,0.36,Altron,0.75,0.37
94,Invprop,0.5,4.59,0.63,26.00,2.24,-51.20,Fortress Income,0.63,3.57,City Lodge,2.45,1.73,Attacq,0.49,2.44,Emira,0.59,2.24,Stor-Age Property REIT Ltd,0.91,6.45,JSE,0.0,0.0,Curro Hol,0.64,1.12
95,Astral,1.29,0.32,1.05,-18.60,0.37,15.62,Adcock Ingram,1.68,1.01,Libstar,0.66,0.34,Bell Equipment Ltd.,0.37,0.17,Metair,0.97,0.38,Netcare,2.05,0.97,Kaap Agri Bedryf,1.05,0.18,Mpact,1.1,0.37
96,Grindrod,0.0,0.0,1.32,0.00,1.77,0.00,Reunert,1.35,0.86,Northam Platinum Holdings,2.03,1.77,Curro Hol,0.64,1.12,Quilter,1.32,0.7,NEPI Rockcastle,0.9,5.59,Fortress Income,0.63,3.57,Coronation,5.33,2.92
97,Grindrod,0.0,0.0,0.59,0.00,0.47,0.00,Master Drilling Group Ltd,0.65,0.59,Afrimat,2.26,1.75,RFG Holdings,0.89,0.37,Caxton,0.47,0.54,Invicta Holdings,0.59,0.34,Invicta,0.59,0.34,Emedia Holdings,0.57,0.47
98,Attacq,0.49,2.44,0.91,85.71,2.52,3.28,Fortress Income,0.63,3.57,JSE,0.0,0.0,Stor-Age Property REIT Ltd,0.91,6.45,Ninety One,5.48,2.82,Advtech,1.96,1.4,PSG Konsult Ltd,3.8,2.52,Resilient Property,0.0,0.0
99,Alexander Forbes Group Holdings,1.53,1.45,0.53,-65.36,0.43,-70.34,Lewis,0.53,0.33,Quantum Foods Holdings,0.45,0.16,Caxton,0.47,0.54,Balwin Properties,0.41,0.43,Adcock Ingram,1.68,1.01,Afrimat,2.26,1.75,Invicta,0.59,0.34
100,Stor-Age Property REIT Ltd,0.91,6.45,0.75,-17.58,2.22,-65.58,Spear REIT,0.62,2.82,JSE,0.0,0.0,City Lodge,2.45,1.73,PSG Konsult Ltd,3.8,2.52,Emira,0.59,2.24,Labat Africa Ltd,0.75,2.22,MiX Telematics Ltd,1.55,1.2
101,Pan African Resources,1.86,2.69,0.90,-51.61,1.77,-34.20,NEPI Rockcastle,0.9,5.59,Northam Platinum Holdings,2.03,1.77,SA Corporate Real Estate,0.52,2.71,AngloGold Ashanti,1.79,1.63,Fortress Income,0.63,3.57,PPC,0.7,0.45,Truworths,3.1,1.17
102,Deutsche Konsum REIT,1.77,13.04,0.50,-71.75,2.57,-80.29,Mtn Zakhele Futhi,0.5,10.39,Sabvest Capital,0.87,3.83,Acsion,0.33,2.57,Grand Parade,1.24,80.95,Grindrod Shipping,13.59,0.31,Tradehold,0.41,1.02,Lesaka Tech,0.36,0.38
103,SA Corporate Real Estate,0.52,2.71,1.86,257.69,1.80,-33.58,Avi,5.2,1.8,NEPI Rockcastle,0.9,5.59,Fortress Income,0.63,3.57,Advtech,1.96,1.4,Pan African Resources,1.86,2.69,Northam Platinum Holdings,2.03,1.77,PPC,0.7,0.45
104,Jubilee Platinum,0.54,3.05,1.32,144.44,5.72,87.54,Sirius RE,1.09,5.72,RENERGEN,4.93,1160.0,Purple Capital Ltd,3.61,6.36,Orion Gold NL,2.04,51.69,Grindrod,0.0,0.0,Attacq,0.49,2.44,Quilter,1.32,0.7
105,Emira,0.59,2.24,0.47,-20.34,0.63,-71.88,Frontier Transport Holdings,1.0,0.63,Spear REIT,0.62,2.82,Ayo Tech,0.38,0.65,Accelerate Property Fund Ltd,0.15,1.06,Caxton,0.47,0.54,JSE,0.0,0.0,Insimbi Refractory Alloy Supply,0.58,0.07
106,Raubex,1.02,0.39,1.05,2.94,0.38,-2.56,Dis-Chem Pharmacies,6.19,0.73,Tharisa,0.63,0.52,Sun International,3.74,0.88,Hulamin,0.33,0.07,Kaap Agri Bedryf,1.05,0.18,Cashbuild,1.81,0.38,Metair,0.97,0.38
107,Lesaka Tech,0.36,0.38,0.50,38.89,2.57,576.32,DRA Global,0.46,0.13,Acsion,0.33,2.57,Sabvest Capital,0.87,3.83,Mtn Zakhele Futhi,0.5,10.39,Crookes Brothers Ltd,0.41,0.69,Grindrod Shipping,13.59,0.31,Oasis Crescent,0.83,12.48
108,Grindrod Shipping,13.59,0.31,0.46,-96.62,2.57,729.03,Acsion,0.33,2.57,Oasis Crescent,0.83,12.48,Crookes Brothers Ltd,0.41,0.69,Sygnia Ltd,3.17,3.3,DRA Global,0.46,0.13,Mtn Zakhele Futhi,0.5,10.39,Lesaka Tech,0.36,0.38
109,Curro Hol,0.64,1.12,3.61,464.06,2.82,151.79,Quilter,1.32,0.7,Ninety One,5.48,2.82,Advtech,1.96,1.4,PSG Konsult Ltd,3.8,2.52,Orion Gold NL,2.04,51.69,Purple Capital Ltd,3.61,6.36,RENERGEN,4.93,1160.0
110,ArcelorMittal,0.39,0.11,2.26,479.49,0.73,563.64,Tiger Brands,2.26,1.03,Aveng Ltd,0.46,0.06,Hulamin,0.33,0.07,Dis-Chem Pharmacies,6.19,0.73,Foschini Group,1.5,0.63,Mr Price,3.03,1.3,Clicks,11.4,1.64
111,PPC,0.7,0.45,1.79,155.71,1.63,262.22,Quilter,1.32,0.7,Reunert,1.35,0.86,AngloGold Ashanti,1.79,1.63,Northam Platinum Holdings,2.03,1.77,Advtech,1.96,1.4,NEPI Rockcastle,0.9,5.59,Avi,5.2,1.8
112,Metair,0.97,0.38,0.68,-29.90,0.27,-28.95,Mustek Ltd,0.68,0.1,Kaap Agri Bedryf,1.05,0.18,Libstar,0.66,0.34,Netcare,2.05,0.97,Bell Equipment Ltd.,0.37,0.17,Brimstone Investment,0.52,0.27,Adcock Ingram,1.68,1.01
113,Mpact,1.1,0.37,0.66,-40.00,0.27,-27.03,Bell Equipment Ltd.,0.37,0.17,Cafca,0.1,0.04,Libstar,0.66,0.34,Adcock Ingram,1.68,1.01,Metair,0.97,0.38,Mustek Ltd,0.68,0.1,Brimstone Investment,0.52,0.27
114,Cashbuild,1.81,0.38,0.88,-51.38,0.34,-10.53,Metair,0.97,0.38,Kaap Agri Bedryf,1.05,0.18,Raubex,1.02,0.39,Sea Harvest,0.88,0.53,Libstar,0.66,0.34,Bell Equipment Ltd.,0.37,0.17,Aveng Ltd,0.46,0.06
115,Exemplar REITail,0.92,3.94,0.98,6.52,0.59,-85.03,Sygnia Ltd,3.17,3.3,Ascendis Health Ltd,0.98,0.25,Dipula Income Fund Ltd,0.63,2.76,Frontier Transport Holdings,1.0,0.63,Rebosis,0.06,0.1,Vunani,1.31,0.59,Metrofile,0.0,0.0
116,Stadio,2.24,3.28,1.22,-45.54,0.93,-71.65,Ellies,1.22,0.11,Calgro M3 Holdings Ltd,0.33,0.25,Santova Ltd,1.22,1.56,MiX Telematics Ltd,1.55,1.2,Delta Property Fund,0.06,0.13,Mtn Zakhele Futhi,0.5,10.39,Cognition Holdings Ltd,1.34,0.93
117,Dipula Income Fund Ltd,0.63,2.76,1.00,58.73,0.63,-77.17,Frontier Transport Holdings,1.0,0.63,Sygnia Ltd,3.17,3.3,Exemplar REITail,0.92,3.94,Metrofile,0.0,0.0,Vunani,1.31,0.59,PBT Group,2.09,0.69,Rebosis,0.06,0.1
118,Caxton,0.47,0.54,0.59,25.53,0.34,-37.04,Quantum Foods Holdings,0.45,0.16,Adcock Ingram,1.68,1.01,Lewis,0.53,0.33,Alexander Forbes Group Holdings,1.53,1.45,RFG Holdings,0.89,0.37,Invicta Holdings,0.59,0.34,Invicta,0.59,0.34
119,Liberty Two Degrees,0.61,3.89,0.90,47.54,3.30,-15.17,Safari Investments RSA Ltd,0.66,3.44,Transcend Residential Property,0.73,3.35,Sygnia Ltd,3.17,3.3,Heriot,0.9,5.1,PBT Group,2.09,0.69,Grindrod Shipping,13.59,0.31,Indluplace Properties Ltd,0.47,1.68
120,Clientèle,3.44,1.29,0.57,-83.43,0.47,-63.57,Ayo Tech,0.38,0.65,Frontier Transport Holdings,1.0,0.63,Balwin Properties,0.41,0.43,Emedia Holdings,0.57,0.47,E Media Holdings Ltd,0.57,0.47,South Ocean Holdings Ltd,0.37,0.12,Transpaco Ltd,1.11,0.38
121,Sabvest Capital,0.87,3.83,0.41,-52.87,0.55,-85.64,Lesaka Tech,0.36,0.38,Acsion,0.33,2.57,DRA Global,0.46,0.13,Trellidor Holdings Ltd,0.0,0.55,Bauba Platinum Ltd,1.03,1.06,Crookes Brothers Ltd,0.41,0.69,Rex Trueform,0.97,0.52
122,Merafe,0.87,0.42,0.88,1.15,0.53,26.19,Lewis,0.53,0.33,Alexander Forbes Group Holdings,1.53,1.45,Caxton,0.47,0.54,Italtile,2.29,1.71,AfroCentric Investment Corp,1.29,0.36,Tharisa,0.63,0.52,Sea Harvest,0.88,0.53
123,MiX Telematics Ltd,1.55,1.2,0.90,-41.94,1.56,30.00,Ellies,1.22,0.11,Santova Ltd,1.22,1.56,Putprop Ltd,0.25,1.39,Grindrod Shipping,13.59,0.31,Heriot,0.9,5.1,Liberty Two Degrees,0.61,3.89,EPE Capital Partners,0.63,2.68
124,Libstar,0.66,0.34,0.89,34.85,0.27,-20.59,RFG Holdings,0.89,0.37,Bell Equipment Ltd.,0.37,0.17,Mustek Ltd,0.68,0.1,Adcock Ingram,1.68,1.01,Metair,0.97,0.38,Kaap Agri Bedryf,1.05,0.18,Brimstone Investment,0.52,0.27
125,Altron,0.75,0.37,1.29,72.00,0.53,43.24,Afrimat,2.26,1.75,Italtile,2.29,1.71,Tharisa,0.63,0.52,Sea Harvest,0.88,0.53,Grindrod,0.0,0.0,Adcock Ingram,1.68,1.01,AfroCentric Investment Corp,1.29,0.36
126,AfroCentric Investment Corp,1.29,0.36,0.68,-47.29,0.30,-16.67,Mustek Ltd,0.68,0.1,Quantum Foods Holdings,0.45,0.16,Deneb Investments,0.57,0.3,Afrimat,2.26,1.75,Combined Moto,1.77,0.18,Invicta,0.59,0.34,RFG Holdings,0.89,0.37
127,Heriot,0.9,5.1,0.61,-32.22,1.06,-79.22,Bauba Platinum Ltd,1.03,1.06,Trellidor Holdings Ltd,0.0,0.55,Liberty Two Degrees,0.61,3.89,Safari Investments RSA Ltd,0.66,3.44,Sygnia Ltd,3.17,3.3,Buffalo Coal,0.47,0.06,Lesaka Tech,0.36,0.38
128,RENERGEN,4.93,1160.0,1.09,-77.89,3.28,-99.72,Purple Capital Ltd,3.61,6.36,Southern Sun,0.82,1.54,Stadio,2.24,3.28,Orion Gold NL,2.04,51.69,Labat Africa Ltd,0.75,2.22,Sirius RE,1.09,5.72,Curro Hol,0.64,1.12
129,Kaap Agri Bedryf,1.05,0.18,0.88,-16.19,0.36,100.00,Metair,0.97,0.38,Mustek Ltd,0.68,0.1,Brimstone Investment,0.52,0.27,Libstar,0.66,0.34,Netcare,2.05,0.97,Sea Harvest,0.88,0.53,AfroCentric Investment Corp,1.29,0.36
130,Sea Harvest,0.88,0.53,0.59,-32.95,0.34,-35.85,Afrimat,2.26,1.75,Invicta,0.59,0.34,Deneb Investments,0.57,0.3,Invicta Holdings,0.59,0.34,Mustek Ltd,0.68,0.1,Brimstone Investment,0.52,0.27,AfroCentric Investment Corp,1.29,0.36
131,Sygnia Ltd,3.17,3.3,0.46,-85.49,0.38,-88.48,Grindrod Shipping,13.59,0.31,Acsion,0.33,2.57,Sephaku Holdings Ltd,0.22,0.29,Lesaka Tech,0.36,0.38,Liberty Two Degrees,0.61,3.89,DRA Global,0.46,0.13,PBT Group,2.09,0.69
132,RFG Holdings,0.89,0.37,0.59,-33.71,0.30,-18.92,Invicta Holdings,0.59,0.34,Adcock Ingram,1.68,1.01,Invicta,0.59,0.34,Insimbi Refractory Alloy Supply,0.58,0.07,Deneb Investments,0.57,0.3,Mustek Ltd,0.68,0.1,Grindrod,0.0,0.0
133,Invicta Holdings,0.59,0.34,0.59,0.00,0.54,58.82,Invicta,0.59,0.34,Deneb Investments,0.57,0.3,Master Drilling Group Ltd,0.65,0.59,Afrimat,2.26,1.75,Grindrod,0.0,0.0,Caxton,0.47,0.54,Karooooo,12.02,7.18
134,Invicta,0.59,0.34,0.59,0.00,0.37,8.82,Invicta Holdings,0.59,0.34,RFG Holdings,0.89,0.37,Deneb Investments,0.57,0.3,Master Drilling Group Ltd,0.65,0.59,Caxton,0.47,0.54,Transpaco Ltd,1.11,0.38,Quantum Foods Holdings,0.45,0.16
135,Zeder,0.63,0.0,0.59,-6.35,2.24,0.00,Drdgold,1.97,2.1,Capital Appreciation,1.2,1.92,City Lodge,2.45,1.73,Attacq,0.49,2.44,Jubilee Platinum,0.54,3.05,Emira,0.59,2.24,Invprop,0.5,4.59
136,Acsion,0.33,2.57,0.87,163.64,1.56,-39.30,DRA Global,0.46,0.13,Santova Ltd,1.22,1.56,Crookes Brothers Ltd,0.41,0.69,Mtn Zakhele Futhi,0.5,10.39,Sabvest Capital,0.87,3.83,Sygnia Ltd,3.17,3.3,PBT Group,2.09,0.69
137,City Lodge,2.45,1.73,0.58,-76.33,2.44,41.04,Invprop,0.5,4.59,Emira,0.59,2.24,Fortress Income,0.63,3.57,Attacq,0.49,2.44,Stor-Age Property REIT Ltd,0.91,6.45,JSE,0.0,0.0,Insimbi Refractory Alloy Supply,0.58,0.07
138,Schroder European Real Estate PLC,0.89,7.24,0.83,-6.74,3.44,-52.49,Telemasters,1.42,0.79,Nictus,0.41,0.96,Oasis Crescent,0.83,12.48,African Media Entertainment,0.99,0.9,Heriot,0.9,5.1,Newpark REIT,0.52,3.81,Safari Investments RSA Ltd,0.66,3.44
139,Lewis,0.53,0.33,0.88,66.04,0.54,63.64,Caxton,0.47,0.54,Quantum Foods Holdings,0.45,0.16,Italtile,2.29,1.71,Adcock Ingram,1.68,1.01,Afrimat,2.26,1.75,Sea Harvest,0.88,0.53,Invicta Holdings,0.59,0.34
140,HomeChoice Investments,0.72,0.93,0.56,-22.22,0.69,-25.81,Bowler Metcalf Ltd,0.9,0.9,Primeserv Group Ltd,0.56,0.13,Crookes Brothers Ltd,0.41,0.69,Sygnia Ltd,3.17,3.3,DRA Global,0.46,0.13,PBT Group,2.09,0.69,Sephaku Holdings Ltd,0.22,0.29
141,Mtn Zakhele Futhi,0.5,10.39,0.99,98.00,1.56,-84.99,Santova Ltd,1.22,1.56,Grand Parade,1.24,80.95,Acsion,0.33,2.57,4Sight,0.47,0.24,MiX Telematics Ltd,1.55,1.2,Sabvest Capital,0.87,3.83,African Media Entertainment,0.99,0.9
142,Combined Moto,1.77,0.18,0.57,-67.80,0.27,50.00,AfroCentric Investment Corp,1.29,0.36,Mustek Ltd,0.68,0.1,Deneb Investments,0.57,0.3,Bell Equipment Ltd.,0.37,0.17,Brimstone Investment,0.52,0.27,Quantum Foods Holdings,0.45,0.16,Sea Harvest,0.88,0.53
143,Capital Regional,0.48,2.55,0.80,66.67,3.44,34.90,Safari Investments RSA Ltd,0.66,3.44,Newpark REIT,0.52,3.81,Heriot,0.9,5.1,Telemasters,1.42,0.79,Schroder European Real Estate PLC,0.89,7.24,Transcend Residential Property,0.73,3.35,Trematon Capital Investments,0.8,1.37
144,Master Drilling Group Ltd,0.65,0.59,0.57,-12.31,0.34,-42.37,Grindrod,0.0,0.0,York Timber Holdings Ltd,0.34,0.57,Invicta Holdings,0.59,0.34,Invicta,0.59,0.34,South Ocean Holdings Ltd,0.37,0.12,Choppies Enterprises,1.29,0.09,Emedia Holdings,0.57,0.47
145,Capital Appreciation,1.2,1.92,0.58,-51.67,0.65,-66.15,Ayo Tech,0.38,0.65,Cognition Holdings Ltd,1.34,0.93,Mtn Zakhele Futhi,0.5,10.39,Frontier Transport Holdings,1.0,0.63,Santova Ltd,1.22,1.56,Calgro M3 Holdings Ltd,0.33,0.25,Insimbi Refractory Alloy Supply,0.58,0.07
146,Tradehold,0.41,1.02,0.71,73.17,0.52,-49.02,Rex Trueform,0.97,0.52,Buffalo Coal,0.47,0.06,Trematon Capital Investments,0.8,1.37,Jasco Electronics Holdings Ltd,0.71,0.07,Heriot,0.9,5.1,DRA Global,0.46,0.13,Safari Investments RSA Ltd,0.66,3.44
147,Aveng Ltd,0.46,0.06,0.97,110.87,0.34,466.67,Hulamin,0.33,0.07,Metair,0.97,0.38,Raubex,1.02,0.39,Kaap Agri Bedryf,1.05,0.18,Libstar,0.66,0.34,Bell Equipment Ltd.,0.37,0.17,Tiger Brands,2.26,1.03
148,YeboYethu,0.49,1.96,0.80,63.27,1.37,-30.10,Trematon Capital Investments,0.8,1.37,Tradehold,0.41,1.02,Heriot,0.9,5.1,Jasco Electronics Holdings Ltd,0.71,0.07,Sygnia Ltd,3.17,3.3,Safari Investments RSA Ltd,0.66,3.44,Rex Trueform,0.97,0.52
149,Purple Capital Ltd,3.61,6.36,1.34,-62.88,2.22,-65.09,RENERGEN,4.93,1160.0,Southern Sun,0.82,1.54,Stadio,2.24,3.28,Orion Gold NL,2.04,51.69,Labat Africa Ltd,0.75,2.22,Cognition Holdings Ltd,1.34,0.93,Insimbi Refractory Alloy Supply,0.58,0.07
150,Spear REIT,0.62,2.82,0.63,1.61,1.20,-57.45,Liberty Two Degrees,0.61,3.89,Metrofile,0.0,0.0,EPE Capital Partners,0.63,2.68,Frontier Transport Holdings,1.0,0.63,MiX Telematics Ltd,1.55,1.2,Indluplace Properties Ltd,0.47,1.68,PBT Group,2.09,0.69
151,Brimstone Investment,0.52,0.27,0.59,13.46,0.34,25.93,Famous Brands,10.04,0.95,Deneb Investments,0.57,0.3,RFG Holdings,0.89,0.37,Invicta Holdings,0.59,0.34,Invicta,0.59,0.34,Mustek Ltd,0.68,0.1,Bell Equipment Ltd.,0.37,0.17
152,E Media Holdings Ltd,0.57,0.47,0.59,3.51,0.38,-19.15,Emedia Holdings,0.57,0.47,Vunani,1.31,0.59,Master Drilling Group Ltd,0.65,0.59,Metrofile,0.0,0.0,Marshall Monteagle PLC,0.0,0.37,Transpaco Ltd,1.11,0.38,Invicta Holdings,0.59,0.34
153,DRA Global,0.46,0.13,0.56,21.74,0.52,300.00,Sephaku Holdings Ltd,0.22,0.29,Crookes Brothers Ltd,0.41,0.69,Rex Trueform,0.97,0.52,Sygnia Ltd,3.17,3.3,Primeserv Group Ltd,0.56,0.13,Vunani,1.31,0.59,Buffalo Coal,0.47,0.06
