index,stock_name,pb,ps,median_pb,difference_pb,median_ps,difference_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps
154,Balwin Properties,0.41,0.43,0.57,39.02,0.38,-11.63,Emedia Holdings,0.57,0.47,E Media Holdings Ltd,0.57,0.47,Frontier Transport Holdings,1.0,0.63,Quantum Foods Holdings,0.45,0.16,Deneb Investments,0.57,0.3,Transpaco Ltd,1.11,0.38,Invicta Holdings,0.59,0.34
155,Safari Investments RSA Ltd,0.66,3.44,0.52,-21.21,2.55,-25.87,Newpark REIT,0.52,3.81,Transcend Residential Property,0.73,3.35,Heriot,0.9,5.1,Capital Regional,0.48,2.55,Bauba Platinum Ltd,1.03,1.06,Putprop Ltd,0.25,1.39,Trellidor Holdings Ltd,0.0,0.55
156,Ayo Tech,0.38,0.65,0.36,-5.26,0.47,-27.69,Indluplace Properties Ltd,0.47,1.68,Accelerate Property Fund Ltd,0.15,1.06,Frontier Transport Holdings,1.0,0.63,NU World Holdings Ltd,0.36,0.24,Metrofile,0.0,0.0,Marshall Monteagle PLC,0.0,0.37,Emedia Holdings,0.57,0.47
157,Bell Equipment Ltd.,0.37,0.17,0.68,83.78,0.34,100.00,RFG Holdings,0.89,0.37,Libstar,0.66,0.34,Mpact,1.1,0.37,Deneb Investments,0.57,0.3,Adcock Ingram,1.68,1.01,Mustek Ltd,0.68,0.1,Grindrod,0.0,0.0
158,Grand Parade,1.24,80.95,0.83,-33.06,1.56,-98.07,Mtn Zakhele Futhi,0.5,10.39,Santova Ltd,1.22,1.56,Brikor,1.02,0.4,EPE Capital Partners,0.63,2.68,4Sight,0.47,0.24,Telemasters,1.42,0.79,Oasis Crescent,0.83,12.48
159,Frontier Transport Holdings,1.0,0.63,0.57,-43.00,0.47,-25.40,Metrofile,0.0,0.0,Ayo Tech,0.38,0.65,Emedia Holdings,0.57,0.47,E Media Holdings Ltd,0.57,0.47,PBT Group,2.09,0.69,Vunani,1.31,0.59,Marshall Monteagle PLC,0.0,0.37
160,EPE Capital Partners,0.63,2.68,0.83,31.75,1.20,-55.22,4Sight,0.47,0.24,MiX Telematics Ltd,1.55,1.2,Oasis Crescent,0.83,12.48,African Media Entertainment,0.99,0.9,Nictus,0.41,0.96,Schroder European Real Estate PLC,0.89,7.24,Putprop Ltd,0.25,1.39
161,Metrofile,0.0,0.0,0.37,0.00,0.37,0.00,Marshall Monteagle PLC,0.0,0.37,Vunani,1.31,0.59,PBT Group,2.09,0.69,Choppies Enterprises,1.29,0.09,York Timber Holdings Ltd,0.34,0.57,Sephaku Holdings Ltd,0.22,0.29,South Ocean Holdings Ltd,0.37,0.12
162,Steinhoff,0.01,0.01,1.88,18700.00,0.81,8000.00,Woolworths,5.4,0.79,MTN,2.31,1.32,Bidvest,2.84,0.81,Sibanye Stillwater,1.16,0.76,Kibo Energy,0.21,10.39,Kap Industrial,0.73,0.29,Gold Fields,1.88,1.85
163,Novus Holdings Ltd,0.57,0.41,0.37,-35.09,0.37,-9.76,Transpaco Ltd,1.11,0.38,Frontier Transport Holdings,1.0,0.63,NU World Holdings Ltd,0.36,0.24,Ayo Tech,0.38,0.65,South Ocean Holdings Ltd,0.37,0.12,Marshall Monteagle PLC,0.0,0.37,Metrofile,0.0,0.0
164,Oasis Crescent,0.83,12.48,0.89,7.23,1.06,-91.51,Schroder European Real Estate PLC,0.89,7.24,African Media Entertainment,0.99,0.9,Nictus,0.41,0.96,Heriot,0.9,5.1,Bauba Platinum Ltd,1.03,1.06,4Sight,0.47,0.24,Putprop Ltd,0.25,1.39
165,Emedia Holdings,0.57,0.47,0.59,3.51,0.47,0.00,E Media Holdings Ltd,0.57,0.47,Vunani,1.31,0.59,Master Drilling Group Ltd,0.65,0.59,Metrofile,0.0,0.0,Marshall Monteagle PLC,0.0,0.37,Invicta Holdings,0.59,0.34,Frontier Transport Holdings,1.0,0.63
166,Choppies Enterprises,1.29,0.09,0.34,-73.64,0.37,311.11,Vunani,1.31,0.59,Marshall Monteagle PLC,0.0,0.37,PBT Group,2.09,0.69,Metrofile,0.0,0.0,York Timber Holdings Ltd,0.34,0.57,Sephaku Holdings Ltd,0.22,0.29,DRA Global,0.46,0.13
167,Accelerate Property Fund Ltd,0.15,1.06,0.47,213.33,1.68,58.49,Indluplace Properties Ltd,0.47,1.68,Liberty Two Degrees,0.61,3.89,Spear REIT,0.62,2.82,Texton Property Fund Ltd,0.35,2.38,Putprop Ltd,0.25,1.39,Metrofile,0.0,0.0,MiX Telematics Ltd,1.55,1.2
168,Hulamin,0.33,0.07,1.02,209.09,0.73,942.86,Dis-Chem Pharmacies,6.19,0.73,Aveng Ltd,0.46,0.06,Libstar,0.66,0.34,Curro Hol,0.64,1.12,Distell,2.24,1.9,Raubex,1.02,0.39,Tiger Brands,2.26,1.03
169,Santova Ltd,1.22,1.56,0.80,-34.43,1.37,-12.18,Ellies,1.22,0.11,Mtn Zakhele Futhi,0.5,10.39,Acsion,0.33,2.57,MiX Telematics Ltd,1.55,1.2,4Sight,0.47,0.24,Grand Parade,1.24,80.95,Trematon Capital Investments,0.8,1.37
170,Transcend Residential Property,0.73,3.35,0.83,13.70,3.44,2.69,Safari Investments RSA Ltd,0.66,3.44,Newpark REIT,0.52,3.81,Capital Regional,0.48,2.55,Telemasters,1.42,0.79,Heriot,0.9,5.1,African Media Entertainment,0.99,0.9,Oasis Crescent,0.83,12.48
171,York Timber Holdings Ltd,0.34,0.57,0.37,8.82,0.13,-77.19,Sephaku Holdings Ltd,0.22,0.29,DRA Global,0.46,0.13,South Ocean Holdings Ltd,0.37,0.12,Marshall Monteagle PLC,0.0,0.37,Choppies Enterprises,1.29,0.09,Metrofile,0.0,0.0,Vunani,1.31,0.59
172,Indluplace Properties Ltd,0.47,1.68,0.35,-25.53,1.02,-39.29,Accelerate Property Fund Ltd,0.15,1.06,Liberty Two Degrees,0.61,3.89,Metrofile,0.0,0.0,Trellidor Holdings Ltd,0.0,0.55,PBT Group,2.09,0.69,Tradehold,0.41,1.02,Texton Property Fund Ltd,0.35,2.38
173,Mustek Ltd,0.68,0.1,0.59,-13.24,0.34,240.00,Deneb Investments,0.57,0.3,AfroCentric Investment Corp,1.29,0.36,RFG Holdings,0.89,0.37,Bell Equipment Ltd.,0.37,0.17,Invicta,0.59,0.34,Invicta Holdings,0.59,0.34,Afrimat,2.26,1.75
174,Transpaco Ltd,1.11,0.38,0.37,-66.67,0.37,-2.63,South Ocean Holdings Ltd,0.37,0.12,DRA Global,0.46,0.13,Sephaku Holdings Ltd,0.22,0.29,York Timber Holdings Ltd,0.34,0.57,Marshall Monteagle PLC,0.0,0.37,E Media Holdings Ltd,0.57,0.47,Frontier Transport Holdings,1.0,0.63
175,Deneb Investments,0.57,0.3,0.59,3.51,0.34,13.33,Invicta,0.59,0.34,Invicta Holdings,0.59,0.34,Mustek Ltd,0.68,0.1,RFG Holdings,0.89,0.37,Master Drilling Group Ltd,0.65,0.59,Brimstone Investment,0.52,0.27,Caxton,0.47,0.54
176,Orion Gold NL,2.04,51.69,0.82,-59.80,2.44,-95.28,Southern Sun,0.82,1.54,Purple Capital Ltd,3.61,6.36,RENERGEN,4.93,1160.0,Sirius RE,1.09,5.72,Curro Hol,0.64,1.12,Labat Africa Ltd,0.75,2.22,Attacq,0.49,2.44
177,Quantum Foods Holdings,0.45,0.16,0.59,31.11,0.34,112.50,Caxton,0.47,0.54,Lewis,0.53,0.33,AfroCentric Investment Corp,1.29,0.36,Mustek Ltd,0.68,0.1,RFG Holdings,0.89,0.37,Invicta Holdings,0.59,0.34,Invicta,0.59,0.34
178,MC Mining,0.56,2.9,1.09,94.64,5.72,97.24,Labat Africa Ltd,0.75,2.22,Jubilee Platinum,0.54,3.05,Sirius RE,1.09,5.72,Southern Sun,0.82,1.54,Purple Capital Ltd,3.61,6.36,RENERGEN,4.93,1160.0,Orion Gold NL,2.04,51.69
179,Marshall Monteagle PLC,0.0,0.37,0.37,0.00,0.29,-21.62,Metrofile,0.0,0.0,York Timber Holdings Ltd,0.34,0.57,Choppies Enterprises,1.29,0.09,Sephaku Holdings Ltd,0.22,0.29,Vunani,1.31,0.59,South Ocean Holdings Ltd,0.37,0.12,PBT Group,2.09,0.69
180,RMB,0.22,13.63,0.70,218.18,0.86,-93.69,Reunert,1.35,0.86,NEPI Rockcastle,0.9,5.59,Grindrod,0.0,0.0,PPC,0.7,0.45,Premier Fishing,0.56,0.85,Jubilee Platinum,0.54,3.05,Northam Platinum Holdings,2.03,1.77
181,Rebosis Property,0.06,0.1,0.41,583.33,0.24,140.00,Rebosis,0.06,0.1,Delta Property Fund,0.06,0.13,Sygnia Ltd,3.17,3.3,Rex Trueform,0.97,0.52,NU World Holdings Ltd,0.36,0.24,Tradehold,0.41,1.02,DRA Global,0.46,0.13
182,PBT Group,2.09,0.69,0.46,-77.99,0.13,-81.16,Vunani,1.31,0.59,Trellidor Holdings Ltd,0.0,0.55,Metrofile,0.0,0.0,Primeserv Group Ltd,0.56,0.13,Buffalo Coal,0.47,0.06,Sephaku Holdings Ltd,0.22,0.29,DRA Global,0.46,0.13
183,Texton Property Fund Ltd,0.35,2.38,0.66,88.57,1.06,-55.46,Delta Property Fund,0.06,0.13,Santova Ltd,1.22,1.56,Accelerate Property Fund Ltd,0.15,1.06,Ellies,1.22,0.11,Brikor,1.02,0.4,Safari Investments RSA Ltd,0.66,3.44,Mtn Zakhele Futhi,0.5,10.39
184,Trematon Capital Investments,0.8,1.37,0.90,12.50,1.02,-25.55,Tradehold,0.41,1.02,Crookes Brothers Ltd,0.41,0.69,Bauba Platinum Ltd,1.03,1.06,African Media Entertainment,0.99,0.9,Heriot,0.9,5.1,Oasis Crescent,0.83,12.48,Rex Trueform,0.97,0.52
185,Bowler Metcalf Ltd,0.9,0.9,0.56,-37.78,0.69,-23.33,HomeChoice Investments,0.72,0.93,Primeserv Group Ltd,0.56,0.13,Crookes Brothers Ltd,0.41,0.69,Trematon Capital Investments,0.8,1.37,PBT Group,2.09,0.69,4Sight,0.47,0.24,DRA Global,0.46,0.13
186,Nampak,0.13,0.04,1.32,915.38,0.73,1725.00,Grindrod,0.0,0.0,Raubex,1.02,0.39,Transaction Capital,2.66,0.88,Reunert,1.35,0.86,Dis-Chem Pharmacies,6.19,0.73,Quilter,1.32,0.7,Curro Hol,0.64,1.12
187,Murray & Roberts,0.0,0.0,1.02,0.00,0.38,0.00,ArcelorMittal,0.39,0.11,Tiger Brands,2.26,1.03,Raubex,1.02,0.39,Cashbuild,1.81,0.38,Aveng Ltd,0.46,0.06,Hulamin,0.33,0.07,Mr Price,3.03,1.3
188,NU World Holdings Ltd,0.36,0.24,0.46,27.78,0.37,54.17,HomeChoice Investments,0.72,0.93,Primeserv Group Ltd,0.56,0.13,South Ocean Holdings Ltd,0.37,0.12,Marshall Monteagle PLC,0.0,0.37,DRA Global,0.46,0.13,PBT Group,2.09,0.69,York Timber Holdings Ltd,0.34,0.57
189,Huge Group,0.27,25.22,0.83,207.41,2.68,-89.37,Grand Parade,1.24,80.95,Oasis Crescent,0.83,12.48,EPE Capital Partners,0.63,2.68,Schroder European Real Estate PLC,0.89,7.24,4Sight,0.47,0.24,Putprop Ltd,0.25,1.39,African Media Entertainment,0.99,0.9
190,Crookes Brothers Ltd,0.41,0.69,0.97,136.59,0.40,-42.03,Sephaku Holdings Ltd,0.22,0.29,4Sight,0.47,0.24,Rex Trueform,0.97,0.52,Brikor,1.02,0.4,African Media Entertainment,0.99,0.9,Bauba Platinum Ltd,1.03,1.06,Primeserv Group Ltd,0.56,0.13
191,Newpark REIT,0.52,3.81,0.73,40.38,2.55,-33.07,Safari Investments RSA Ltd,0.66,3.44,Capital Regional,0.48,2.55,Telemasters,1.42,0.79,Transcend Residential Property,0.73,3.35,Schroder European Real Estate PLC,0.89,7.24,Nictus,0.41,0.96,African Media Entertainment,0.99,0.9
192,Vunani,1.31,0.59,0.34,-74.05,0.29,-50.85,PBT Group,2.09,0.69,Metrofile,0.0,0.0,Choppies Enterprises,1.29,0.09,Marshall Monteagle PLC,0.0,0.37,Primeserv Group Ltd,0.56,0.13,York Timber Holdings Ltd,0.34,0.57,Sephaku Holdings Ltd,0.22,0.29
193,Insimbi Refractory Alloy Supply,0.58,0.07,0.59,1.72,0.37,428.57,Calgro M3 Holdings Ltd,0.33,0.25,Invicta Holdings,0.59,0.34,Invicta,0.59,0.34,RFG Holdings,0.89,0.37,Master Drilling Group Ltd,0.65,0.59,Balwin Properties,0.41,0.43,Caxton,0.47,0.54
194,Ascendis Health Ltd,0.98,0.25,0.46,-53.06,0.37,48.00,Buffalo Coal,0.47,0.06,Tradehold,0.41,1.02,Vunani,1.31,0.59,Metrofile,0.0,0.0,PBT Group,2.09,0.69,Marshall Monteagle PLC,0.0,0.37,DRA Global,0.46,0.13
195,Premier Fishing,0.56,0.85,0.54,-3.57,3.05,258.82,Nampak,0.13,0.04,Grindrod,0.0,0.0,Reunert,1.35,0.86,Jubilee Platinum,0.54,3.05,Invprop,0.5,4.59,Fortress Income,0.63,3.57,Sirius RE,1.09,5.72
196,Calgro M3 Holdings Ltd,0.33,0.25,1.22,269.70,0.29,16.00,Sephaku Holdings Ltd,0.22,0.29,Ellies,1.22,0.11,Santova Ltd,1.22,1.56,MiX Telematics Ltd,1.55,1.2,Cognition Holdings Ltd,1.34,0.93,Metrofile,0.0,0.0,Delta Property Fund,0.06,0.13
197,Rex Trueform,0.97,0.52,0.41,-57.73,0.24,-53.85,DRA Global,0.46,0.13,Crookes Brothers Ltd,0.41,0.69,Sephaku Holdings Ltd,0.22,0.29,Tradehold,0.41,1.02,Delta Property Fund,0.06,0.13,4Sight,0.47,0.24,Jasco Electronics Holdings Ltd,0.71,0.07
198,Bauba Platinum Ltd,1.03,1.06,0.47,-54.37,0.55,-48.11,Putprop Ltd,0.25,1.39,Telemasters,1.42,0.79,Trellidor Holdings Ltd,0.0,0.55,Buffalo Coal,0.47,0.06,4Sight,0.47,0.24,Tradehold,0.41,1.02,Rex Trueform,0.97,0.52
199,EOH,8.61,0.05,1.09,-87.34,5.72,11340.00,RENERGEN,4.93,1160.0,Southern Sun,0.82,1.54,Orion Gold NL,2.04,51.69,Purple Capital Ltd,3.61,6.36,Sirius RE,1.09,5.72,Curro Hol,0.64,1.12,Attacq,0.49,2.44
200,Trellidor Holdings Ltd,0.0,0.55,0.66,0.00,0.69,25.45,Bauba Platinum Ltd,1.03,1.06,PBT Group,2.09,0.69,4Sight,0.47,0.24,Sephaku Holdings Ltd,0.22,0.29,Safari Investments RSA Ltd,0.66,3.44,Transcend Residential Property,0.73,3.35,Buffalo Coal,0.47,0.06
201,Stefanutti Stocks,0.0,0.0,0.57,0.00,0.37,0.00,Novus Holdings Ltd,0.57,0.41,Transpaco Ltd,1.11,0.38,York Timber Holdings Ltd,0.34,0.57,South Ocean Holdings Ltd,0.37,0.12,Marshall Monteagle PLC,0.0,0.37,Invicta,0.59,0.34,Invicta Holdings,0.59,0.34
202,RH Bophelo,0.28,48.3,0.83,196.43,2.68,-94.45,Crookes Brothers Ltd,0.41,0.69,African Media Entertainment,0.99,0.9,Oasis Crescent,0.83,12.48,4Sight,0.47,0.24,Schroder European Real Estate PLC,0.89,7.24,Grand Parade,1.24,80.95,EPE Capital Partners,0.63,2.68
203,Sephaku Holdings Ltd,0.22,0.29,0.97,340.91,0.59,103.45,DRA Global,0.46,0.13,Crookes Brothers Ltd,0.41,0.69,Bauba Platinum Ltd,1.03,1.06,Rex Trueform,0.97,0.52,Vunani,1.31,0.59,Primeserv Group Ltd,0.56,0.13,PBT Group,2.09,0.69
204,South Ocean Holdings Ltd,0.37,0.12,0.34,-8.11,0.29,141.67,DRA Global,0.46,0.13,York Timber Holdings Ltd,0.34,0.57,Sephaku Holdings Ltd,0.22,0.29,Marshall Monteagle PLC,0.0,0.37,Choppies Enterprises,1.29,0.09,Metrofile,0.0,0.0,Transpaco Ltd,1.11,0.38
205,African Media Entertainment,0.99,0.9,0.83,-16.16,0.96,6.67,Nictus,0.41,0.96,Trellidor Holdings Ltd,0.0,0.55,Oasis Crescent,0.83,12.48,Schroder European Real Estate PLC,0.89,7.24,Telemasters,1.42,0.79,Bauba Platinum Ltd,1.03,1.06,4Sight,0.47,0.24
206,Finbond Group Ltd,0.25,0.13,0.71,184.00,0.69,430.77,HomeChoice Investments,0.72,0.93,NU World Holdings Ltd,0.36,0.24,Bowler Metcalf Ltd,0.9,0.9,Jasco Electronics Holdings Ltd,0.71,0.07,Tradehold,0.41,1.02,Crookes Brothers Ltd,0.41,0.69,African & Overseas,0.98,0.26
207,Cognition Holdings Ltd,1.34,0.93,0.50,-62.69,0.90,-3.23,Mtn Zakhele Futhi,0.5,10.39,Santova Ltd,1.22,1.56,Texton Property Fund Ltd,0.35,2.38,African Media Entertainment,0.99,0.9,Calgro M3 Holdings Ltd,0.33,0.25,Ellies,1.22,0.11,4Sight,0.47,0.24
208,Advanced Health,14.46,0.41,0.47,-96.75,0.69,68.29,4Sight,0.47,0.24,MiX Telematics Ltd,1.55,1.2,EPE Capital Partners,0.63,2.68,PBT Group,2.09,0.69,Metrofile,0.0,0.0,Calgro M3 Holdings Ltd,0.33,0.25,Acsion,0.33,2.57
209,Buffalo Coal,0.47,0.06,0.47,0.00,0.55,816.67,Bauba Platinum Ltd,1.03,1.06,Tradehold,0.41,1.02,Rex Trueform,0.97,0.52,Sephaku Holdings Ltd,0.22,0.29,Trellidor Holdings Ltd,0.0,0.55,4Sight,0.47,0.24,Safari Investments RSA Ltd,0.66,3.44
210,Rebosis,0.06,0.1,0.36,500.00,0.24,140.00,Rebosis Property,0.06,0.1,Delta Property Fund,0.06,0.13,Primeserv Group Ltd,0.56,0.13,NU World Holdings Ltd,0.36,0.24,PBT Group,2.09,0.69,Trellidor Holdings Ltd,0.0,0.55,Tradehold,0.41,1.02
211,African & Overseas,0.98,0.26,0.41,-58.16,0.40,53.85,Jasco Electronics Holdings Ltd,0.71,0.07,Delta Property Fund,0.06,0.13,Rex Trueform,0.97,0.52,Brikor,1.02,0.4,Tradehold,0.41,1.02,Crookes Brothers Ltd,0.41,0.69,Sephaku Holdings Ltd,0.22,0.29
212,Delta Property Fund,0.06,0.13,0.71,1083.33,0.52,300.00,Rex Trueform,0.97,0.52,Jasco Electronics Holdings Ltd,0.71,0.07,Tradehold,0.41,1.02,African & Overseas,0.98,0.26,DRA Global,0.46,0.13,Crookes Brothers Ltd,0.41,0.69,Trematon Capital Investments,0.8,1.37
213,Putprop Ltd,0.25,1.39,0.89,256.00,0.96,-30.94,Bauba Platinum Ltd,1.03,1.06,Buffalo Coal,0.47,0.06,Nictus,0.41,0.96,Schroder European Real Estate PLC,0.89,7.24,EPE Capital Partners,0.63,2.68,Telemasters,1.42,0.79,African Media Entertainment,0.99,0.9
214,4Sight,0.47,0.24,0.41,-12.77,0.90,275.00,Crookes Brothers Ltd,0.41,0.69,Trellidor Holdings Ltd,0.0,0.55,Bauba Platinum Ltd,1.03,1.06,Nictus,0.41,0.96,African Media Entertainment,0.99,0.9,Putprop Ltd,0.25,1.39,Brikor,1.02,0.4
215,Brikor,1.02,0.4,0.90,-11.76,0.79,97.50,Crookes Brothers Ltd,0.41,0.69,4Sight,0.47,0.24,Telemasters,1.42,0.79,Bauba Platinum Ltd,1.03,1.06,African Media Entertainment,0.99,0.9,Bowler Metcalf Ltd,0.9,0.9,Buffalo Coal,0.47,0.06
216,Ellies,1.22,0.11,0.50,-59.02,0.93,745.45,Calgro M3 Holdings Ltd,0.33,0.25,Santova Ltd,1.22,1.56,MiX Telematics Ltd,1.55,1.2,4Sight,0.47,0.24,Delta Property Fund,0.06,0.13,Mtn Zakhele Futhi,0.5,10.39,Cognition Holdings Ltd,1.34,0.93
217,Primeserv Group Ltd,0.56,0.13,0.46,-17.86,0.55,323.08,PBT Group,2.09,0.69,4Sight,0.47,0.24,Trellidor Holdings Ltd,0.0,0.55,Crookes Brothers Ltd,0.41,0.69,Bauba Platinum Ltd,1.03,1.06,Sephaku Holdings Ltd,0.22,0.29,DRA Global,0.46,0.13
218,Kibo Energy,0.21,10.39,1.10,423.81,1.85,-82.19,OUTsurance,4.76,2.55,Gold Fields,1.88,1.85,PPC,0.7,0.45,Pan African Resources,1.86,2.69,African Rainbow,0.72,5.94,Pepkor,1.1,0.85,Kap Industrial,0.73,0.29
219,Labat Africa Ltd,0.75,2.22,0.91,21.33,2.68,20.72,Mtn Zakhele Futhi,0.5,10.39,Acsion,0.33,2.57,EPE Capital Partners,0.63,2.68,Santova Ltd,1.22,1.56,Ellies,1.22,0.11,Stor-Age Property REIT Ltd,0.91,6.45,Stadio,2.24,3.28
220,Telemasters,1.42,0.79,0.66,-53.52,1.39,75.95,Schroder European Real Estate PLC,0.89,7.24,Bauba Platinum Ltd,1.03,1.06,African Media Entertainment,0.99,0.9,Newpark REIT,0.52,3.81,Nictus,0.41,0.96,Safari Investments RSA Ltd,0.66,3.44,Putprop Ltd,0.25,1.39
221,Jasco Electronics Holdings Ltd,0.71,0.07,0.80,12.68,0.26,271.43,Delta Property Fund,0.06,0.13,African & Overseas,0.98,0.26,Tradehold,0.41,1.02,Rex Trueform,0.97,0.52,Ascendis Health Ltd,0.98,0.25,Trematon Capital Investments,0.8,1.37,DRA Global,0.46,0.13
222,Cafca,0.1,0.04,0.97,870.00,0.37,825.00,Mpact,1.1,0.37,Bell Equipment Ltd.,0.37,0.17,Libstar,0.66,0.34,Metair,0.97,0.38,Ninety One,9.42,1.78,Aveng Ltd,0.46,0.06,Netcare,2.05,0.97
223,Nictus,0.41,0.96,0.89,117.07,1.06,10.42,African Media Entertainment,0.99,0.9,Schroder European Real Estate PLC,0.89,7.24,Oasis Crescent,0.83,12.48,Telemasters,1.42,0.79,Bauba Platinum Ltd,1.03,1.06,Putprop Ltd,0.25,1.39,4Sight,0.47,0.24
